id_lance;ANO;NMAREA;COBARCO;NLANCE;NUMANZUELOS;PALANGRE;LFECHA;VFECHA;VLATINI;VLONINI;VLATFIN;VLONFIN;FASELUNAR;VALIDO;basin;Area1;COESP;n_ind;MES;Time;DateTime;MoonPhase;id;geometry
2021_A_1_1;2021;1;A;1;2058;3;15/05/2021;16/05/2021;36.87;-0.734;36.895;-0.69;CC;NA;med;med;SMA;0;5;7:09:00;16/05/2021 7:09;Creciente;408;c(-0.734, 36.87)
2021_A_1_1;2021;1;A;1;2058;3;15/05/2021;16/05/2021;36.87;-0.734;36.895;-0.69;CC;NA;med;med;SWO;11;5;7:09:00;16/05/2021 7:09;Creciente;408;c(-0.734, 36.87)
2021_A_1_1;2021;1;A;1;2058;3;15/05/2021;16/05/2021;36.87;-0.734;36.895;-0.69;CC;NA;med;med;BSH;0;5;7:09:00;16/05/2021 7:09;Creciente;408;c(-0.734, 36.87)
2021_A_1_2;2021;1;A;2;2058;3;15/05/2021;17/05/2021;36.933;-0.696;36.957;-0.607;CC;NA;med;med;SWO;8;5;7:04:00;17/05/2021 7:04;Creciente;408;c(-0.696, 36.933)
2021_A_1_2;2021;1;A;2;2058;3;15/05/2021;17/05/2021;36.933;-0.696;36.957;-0.607;CC;NA;med;med;SMA;0;5;7:04:00;17/05/2021 7:04;Creciente;408;c(-0.696, 36.933)
2021_A_1_2;2021;1;A;2;2058;3;15/05/2021;17/05/2021;36.933;-0.696;36.957;-0.607;CC;NA;med;med;BSH;0;5;7:04:00;17/05/2021 7:04;Creciente;408;c(-0.696, 36.933)
2021_A_1_3;2021;1;A;3;2058;3;17/05/2021;18/05/2021;36.823;-0.754;36.843;-0.691;CC;NA;med;med;SMA;0;5;7:06:00;18/05/2021 7:06;Creciente;408;c(-0.754, 36.823)
2021_A_1_3;2021;1;A;3;2058;3;17/05/2021;18/05/2021;36.823;-0.754;36.843;-0.691;CC;NA;med;med;SWO;2;5;7:06:00;18/05/2021 7:06;Creciente;408;c(-0.754, 36.823)
2021_A_1_3;2021;1;A;3;2058;3;17/05/2021;18/05/2021;36.823;-0.754;36.843;-0.691;CC;NA;med;med;BSH;0;5;7:06:00;18/05/2021 7:06;Creciente;408;c(-0.754, 36.823)
2021_A_1_4;2021;1;A;4;2058;3;18/05/2021;19/05/2021;36.897;-0.679;36.866;-0.809;CC;NA;med;med;SMA;0;5;1:01:00;19/05/2021 1:01;Creciente;408;c(-0.679, 36.897)
2021_A_1_4;2021;1;A;4;2058;3;18/05/2021;19/05/2021;36.897;-0.679;36.866;-0.809;CC;NA;med;med;SWO;4;5;1:01:00;19/05/2021 1:01;Creciente;408;c(-0.679, 36.897)
2021_A_1_4;2021;1;A;4;2058;3;18/05/2021;19/05/2021;36.897;-0.679;36.866;-0.809;CC;NA;med;med;BSH;0;5;1:01:00;19/05/2021 1:01;Creciente;408;c(-0.679, 36.897)
2021_A_10_1;2021;10;A;1;4116;3;09/07/2021;10/07/2021;37.863;1.266;37.839;1.259;NU;NA;med;med;BSH;0;7;8:28:00;10/07/2021 8:28;New;447;c(1.266, 37.863)
2021_A_10_1;2021;10;A;1;4116;3;09/07/2021;10/07/2021;37.863;1.266;37.839;1.259;NU;NA;med;med;SWO;19;7;8:28:00;10/07/2021 8:28;New;447;c(1.266, 37.863)
2021_A_10_1;2021;10;A;1;4116;3;09/07/2021;10/07/2021;37.863;1.266;37.839;1.259;NU;NA;med;med;SMA;0;7;8:28:00;10/07/2021 8:28;New;447;c(1.266, 37.863)
2021_A_11_1;2021;11;A;1;4116;3;12/07/2021;13/07/2021;36.809;-0.956;36.796;-0.727;CC;NA;med;med;SMA;0;7;15:23:00;13/07/2021 15:23;New;408;c(-0.956, 36.809)
2021_A_11_1;2021;11;A;1;4116;3;12/07/2021;13/07/2021;36.809;-0.956;36.796;-0.727;CC;NA;med;med;SWO;27;7;15:23:00;13/07/2021 15:23;New;408;c(-0.956, 36.809)
2021_A_11_1;2021;11;A;1;4116;3;12/07/2021;13/07/2021;36.809;-0.956;36.796;-0.727;CC;NA;med;med;BSH;0;7;15:23:00;13/07/2021 15:23;New;408;c(-0.956, 36.809)
2021_A_12_1;2021;12;A;1;3822;3;16/07/2021;18/07/2021;36.93;-0.979;36.773;-0.964;CC;NA;med;med;SWO;15;7;6:30:00;18/07/2021 6:30;Creciente;408;c(-0.979, 36.93)
2021_A_12_1;2021;12;A;1;3822;3;16/07/2021;18/07/2021;36.93;-0.979;36.773;-0.964;CC;NA;med;med;SMA;0;7;6:30:00;18/07/2021 6:30;Creciente;408;c(-0.979, 36.93)
2021_A_12_1;2021;12;A;1;3822;3;16/07/2021;18/07/2021;36.93;-0.979;36.773;-0.964;CC;NA;med;med;BSH;0;7;6:30:00;18/07/2021 6:30;Creciente;408;c(-0.979, 36.93)
2021_A_13_1;2021;13;A;1;2352;3;19/07/2021;21/07/2021;36.422;-2.098;36.376;-2.283;CC;NA;med;med;SWO;11;7;5:00:00;21/07/2021 5:00;Full;388;c(-2.098, 36.422)
2021_A_13_1;2021;13;A;1;2352;3;19/07/2021;21/07/2021;36.422;-2.098;36.376;-2.283;CC;NA;med;med;BSH;0;7;5:00:00;21/07/2021 5:00;Full;388;c(-2.098, 36.422)
2021_A_13_1;2021;13;A;1;2352;3;19/07/2021;21/07/2021;36.422;-2.098;36.376;-2.283;CC;NA;med;med;SMA;0;7;5:00:00;21/07/2021 5:00;Full;388;c(-2.098, 36.422)
2021_A_13_2;2021;13;A;2;1764;3;19/07/2021;22/07/2021;36.356;-2.338;36.359;-2.301;CC;NA;med;med;SMA;0;7;5:30:00;22/07/2021 5:30;Full;388;c(-2.338, 36.356)
2021_A_13_2;2021;13;A;2;1764;3;19/07/2021;22/07/2021;36.356;-2.338;36.359;-2.301;CC;NA;med;med;BSH;0;7;5:30:00;22/07/2021 5:30;Full;388;c(-2.338, 36.356)
2021_A_13_2;2021;13;A;2;1764;3;19/07/2021;22/07/2021;36.356;-2.338;36.359;-2.301;CC;NA;med;med;SWO;1;7;5:30:00;22/07/2021 5:30;Full;388;c(-2.338, 36.356)
2021_A_13_3;2021;13;A;3;2352;3;22/07/2021;22/07/2021;36.321;-2.115;36.314;-2.18;CC;NA;med;med;SMA;0;7;21:51:00;22/07/2021 21:51;Full;388;c(-2.115, 36.321)
2021_A_13_3;2021;13;A;3;2352;3;22/07/2021;22/07/2021;36.321;-2.115;36.314;-2.18;CC;NA;med;med;BSH;0;7;21:51:00;22/07/2021 21:51;Full;388;c(-2.115, 36.321)
