"dC_corr","dN"
-16.44,12.51
-16.5968009998858,13.01
-16.6,12.37
-16.63,12.33
-16.72,12.03
-16.9758847718596,12.75
-17.05,12.33
-17.34,11.58
-17.36,12.42
-17.52,12.8
-17.622721988747,12.08
-17.74,13.64
-17.75,12.42
-17.76,13.35
-17.8,12.52
-17.82,12.92
-17.86,12.86
-17.88,12.4
-17.92,12.92
-17.93,13.32
-18.02,12.98
-18.09,13.26
-18.12,13.32
-18.16,13.35
-18.29,12.72
-18.3,12.89
-18.37,11.85
-18.37,12.87
-18.38,12.16
-18.4,11.46
-18.4,12.52
-18.43,11.42
-18.49,12.71
-18.51,12.35
-18.54,13.2
-18.56,11.22
-18.57,13.05
-18.58,12.58
-18.64,12.39
-18.66,11.96
-18.68,12.17
