"dC_corr","dN","FL"
-16.7,13.21,NA
-17.22,11.47,NA
-17.22,12.24,NA
-17.26,10.48,109
-17.3556188534895,12.86,NA
-17.4778763664247,13.32,113.5
-17.5964714043934,12.43,103
-17.7562842825443,12.17,95
-17.8956524456269,11,103
-17.922822619602,11.52,103
-17.94,12.13,NA
-17.95,12.19,NA
-18.026886428468,11.48,NA
-18.04,11.04,111.5
-18.04,11.41,NA
-18.06,10.91,NA
-18.06,12.99,NA
-18.0660917113084,12.29,88
-18.0761074747369,12.67,145
-18.0766004941785,11.61,108
-18.09,12.04,NA
-18.0927241407644,12.22,NA
-18.1,12.2,NA
-18.1288027749542,12.64,97.5
-18.1419098716139,11.04,NA
-18.2,11.87,NA
-18.213652633834,12.88,91.5
-18.234129601528,10.97,100
-18.24,12.04,NA
-18.29,11.62,NA
-18.31,10.92,NA
-18.33,10.88,NA
-18.34,12.08,NA
-18.342335886236,12.68,NA
-18.3591423958943,12.72,NA
-18.3627192803187,12.3,NA
-18.4,10.84,NA
-18.4,11.38,NA
-18.4718528010903,11.48,102.5
-18.48,11.45,NA
-18.49,11.48,NA
-18.490740475451,12.17,NA
-18.51,11.89,NA
-18.52,11.83,NA
-18.54,10.53,NA
-18.54,12.13,NA
-18.55,11.73,NA
-18.55,12.7,NA
-18.5522916566985,12.67,NA
-18.58,11.65,147
-18.58411916759,11.53,98
-18.61,12.63,100.5
-18.63,11.82,NA
-18.63,11.92,NA
-18.6396830214988,12.58,NA
-18.7168956087709,11.28,102
-18.78,10.56,NA
-18.78,11.78,NA
-18.79,12.13,NA
-18.86,12.01,NA
-18.87,11.85,NA
-19.18,10.34,NA
