"dC_corr","dN","FL"
-17.52,10.79,107
-17.6,12.41,106
-17.63,12.72,112
-17.8567324082394,11.86,105
-17.92,11.04,95
-18,11.47,99
-18.0600694819986,12.11,80
-18.233668605125,11.46,113
-18.25,10.11,104
-18.39,12.12,98
-18.51,12.47,108
-18.55,11.09,107
-18.56,11.8,100
-18.5742293923963,11.12,104
-18.6361334487213,12.58,99
-18.8679620772024,12.35,106
-18.89,10.82,97
-18.96,11.26,94
-18.97,11.64,112
-19.0503792819616,11.78,100
-19.07,11.43,99
-19.11,11.88,114
-19.1100867459549,11.75,109
-19.16,11.6,108
-19.2,11.74,103
-19.35,11.69,100
