"dC_corr","dN","FL"
-17.195601989051,13.72,150
-17.3,13.68,141
-17.3,9.17,77
-17.3296126294231,12.87,133
-17.3829708324344,13.15,123.5
-17.413789603853,9.19,79
-17.5,12.29,104.5
-17.56,12.26,97
-17.59,10.57,73.5
-17.59,13.72,108
-17.59,8.95,72.4
-17.65,9.07,73.8
-17.67,9.8,72.3
-17.69,9.78,82
-17.6996362710713,12.14,99
-17.71,13.47,115
-17.73,12.48,158
-17.76,12.01,139
-17.76,12.68,173
-17.76,13.4,111
-17.77,9.74,72.5
-17.78,10.08,80.1
-17.8,12.16,112
-17.8087687106032,11.91,99.6
-17.81,13.15,148
-17.82,9.32,76.4
-17.8417232768657,12.67,130
-17.85,10.91,78.5
-17.86,9.19,76
-17.87,9.25,77.9
-17.9,12.48,113
-17.9,13.3,113.5
-17.91,11.69,102
-17.92,12.08,96.5
-17.93,12.49,142
-17.93,8.91,74.7
-17.9393237357678,11.51,94
-17.9415125280432,9.43,77
-17.96,11.14,95
-17.97,12.57,132
-17.97,9.85,77
-17.98,11.38,115
-17.98,9.09,73.3
-17.99,11.65,115
-17.99,12.31,114
-18,10.33,80
-18.02,12.2,102
-18.02,12.53,111
-18.03,11.05,99
-18.0604695556029,12.24,134
-18.0618309312371,9.32,72.7
-18.08,11.49,84.8
-18.08,11.82,89
-18.08,9.02,72.8
-18.09,11.87,100
-18.11,12.1,123
-18.12,10.17,93
-18.12,11.28,118.3
-18.12,12.84,120
-18.13,11.7,90
-18.1304619665939,11.13,92
-18.1403715715114,12,144
-18.1518432995851,12.14,108
-18.1618917227376,11.74,103
-18.1655633124089,11.72,89
-18.17,12.93,130
-18.18,11.04,86
-18.18,12.11,94
-18.18,12.75,103.5
-18.18,9.46,72.5
-18.1825292162354,11.5,92
-18.1825496588838,9.94,77.5
-18.19,11.96,83
-18.2,11.4,90
-18.2,12.32,109
-18.2,9.19,73
-18.2785857942841,11.83,92
-18.28,11.03,86
-18.28,8.62,72.6
-18.29,11.54,102
-18.3,11.14,96
-18.3,11.94,100
-18.3,9.34,74
-18.32,10.68,76
-18.33,11.42,86
-18.34,11.54,106.6
-18.34,12.6,128
-18.35,11.87,97
-18.35,12.51,116
-18.36,11.89,101
-18.36,12.04,103.57142913308
-18.3623112942843,11.09,97
-18.366438391239,11.83,100
-18.37,11.48,93
-18.37,12.08,109
-18.38,12.46,97
-18.3877299858311,12.32,121
-18.39,11.37,110.5
-18.4163410617323,10.64,90
-18.43,11.2,92.5
-18.43,12.29,137
-18.432358316619,12.29,121
-18.45,11.25,98
-18.45,11.86,92
-18.45,12.53,104
-18.45,9.53,71.5
-18.4546433985661,10.86,94
-18.4589633575583,11.17,87
-18.46,11.08,92
-18.46,12.22,99.5
-18.4736981781665,11.08,87
-18.48,11.15,78.9991586454585
-18.48,12.86,104.5
-18.49,11.28,88
-18.5,11.46,119.1
-18.5,11.61,96
-18.51,11.6,95
-18.51,12.02,89.5
-18.51,12.18,107
-18.51,12.88,159
-18.55,10.87,91
-18.57,10.68,94
-18.57,11.02,87
-18.57,9.74,75.7
-18.59,10.13,100
-18.6,12.33,114
-18.6,13.24,144
-18.62,10.9,84
-18.6240094355653,9.49,74
-18.64,10.91,76
-18.65,12.62,102
-18.67,11.56,96
-18.7,11.05,87
-18.7,12.23,89
-18.71,12.54,131
-18.72,10.51,95
-18.72,11.75,114
-18.74,10.54,92
-18.74,11.4,98
-18.7486261822292,9.48,72
-18.76,11.9,87
-18.76,12.23,112
-18.78,11.86,93
-18.85,12.14,88
-18.85,7.97,74.6
-18.8735792948945,10.26,89
-18.9,12.04,95
-18.93,10.73,94
-18.93,11.73,165
-18.9956029028604,11.42,108
-19.0368997687006,9.43,72.1
-19.0655872361438,11.15,93
-19.1,11.15,83
-19.1,11.31,99
-19.29,11.19,83
-19.4486038098587,9.44,73.2
